id,name,acronym,operating_unit_type_id,agency_code,uacs_code,address,image,agency_head_name,agency_head_designation,telephone_number,fax_number,email,created_at,updated_at,deleted_at
1,OSEC - Office of the Secretary,OSEC,1,,,,agency_logos/DA LOGO.png,William D. Dar,Secretary,,,w.dar38@yahoo.com,,,
2,RFO CAR - Cordillera Administrative Region,RFO CAR,3,,,"BPI compound, Guisad Baguio City",agency_logos/DA LOGO.png,Cameron P. Odsey,OIC - RED,CISCO-1419 (074) 445-4973 / (074) 423-4621,(074) 445-4973,pmed3fdacar@yahoo.com,,,
3,RFO I - Ilocos Region,RFO 1,3,,,,agency_logos/DA LOGO.png,"Lucresio R. Alviar, Jr.",Regional Executive Director,(072)-242-1045 and (072)-242-1046,,darfo1.ored@gmail.com,,,
4,RFO II - Cagayan Valley,RFO 2,3,,,"Tuguegarao City, Cagayan",agency_logos/DA LOGO.png,Narciso A. Edillo,RED,(078) 396-1328 / (078) 844-1031,N/A,da_rfu2000@yahoo.com,,,
5,RFO III - Central Luzon,RFO 3,3,,,,agency_logos/DA LOGO.png,Crispulo G. Bautista,OIC - RED,(045)-9613472/and(045)-9617699,,da_rfu3@yahoo.com/ored.da3@gmail.com,,,
6,RFO IVA - CALABARZON,RFO 4A,3,,,,agency_logos/DA LOGO.png,Arnel V. de Mesa,RED,8928-5375/8920-0116/CISCO-4420,,darfu4a.ored@gmail.com,,,
7,RFO IVB - MIMAROPA,RFO 4B,3,,,,agency_logos/DA LOGO.png,Antonio G. Gerundio,RED,8332-7274/8927-4350,,ored4b@yahoo.com,,,
8,RFO V - Bicol Region,RFO 5,3,,,,agency_logos/DA LOGO.png,Rodel P. Tornilla,RED,(054)-477-0381/CISCO-4511/4500,,da5ored@yahoo.com,,,
9,RFO VI - Western Visayas,RFO 6,3,,,,agency_logos/DA LOGO.png,Remelyn R. Recoter,RED,,(033)- 337-1262 (ORED),darfu6@yahoo.com,,,
10,RFO VII - Central Visayas,RFO 7,3,,,,agency_logos/DA LOGO.png,Atty. Salvador D. Diputado,RED,(032) 3833679 loc 4702,(032)268-3063,redsoffice7@yahoo.com,,,
11,RFO VIII - Eastern Visayas,RFO 8,3,,,Eastern Visayas,agency_logos/DA LOGO.png,Angel C. Enriquez,OIC RED,(053) 321-2024/832-0694,(053) 325-7242,da8ored@yahoo.com,,,
12,RFO IX - Zamboanga Peninsula,RFO 9,3,,,,agency_logos/DA LOGO.png,Rad donn l. Cedeno,RED,(062) 991-3188,NULL,ored_sec@yahoo.com.ph,,,
13,RFO X - Northern Mindanao,RFO 10,3,,,"Antoni Luna St, Cagayan De Oro",agency_logos/DA LOGO.png,Carlene C. Collado,RED,(088) 856-2753 to 55; 231-3497,(088) 231-3496,da10ored@gmail.com,,,
14,RFO XI - Davao Region,RFO 11,3,,,DAVAO,agency_logos/DA LOGO.png,Engr. Ricardi M. O�ate Jr.,RED,(082) 226-3625 loc. 1100,(082) 221-9697,darfoxi.ored@gmail.com,,,
15,RFO XII - SOCCSKSARGEN,RFO 12,3,,,Koronadal City,agency_logos/DA LOGO.png,Arlan M. Mangelen,RED,0915-907-5136,n/a,ored.darfo12@gmail.com,,,
16,RFO XIII - CARAGA,RFO 13,3,,,Caraga,agency_logos/DA LOGO.png,Abel James I. Monteagudo,RED,(085) 342-4092 / 341-4546,(085) 341-2114,dacaraga@yahoo.com,,,
17,RFO DAF-ARMM - Department of Agriculture and Fisheries in the Autonomous Region in Muslim Mindanao,DAF-ARMM,3,,,,agency_logos/DA LOGO.png,"Alexander G. Alonto, Jr.","OIC, Regional Secretary",,,daf_pmpdd@yahoo.com,,,
18,Agricultural Training Institute,ATI,4,,,DA,agency_logos/ATI.jpg,"Alfredo S. aton, MPS-DM",Director,8929-8541 LOC 265/267/220,89209792,ati_director@yahoo.com,,,
19,BAI - Bureau of Animal Industry,BAI,4,,,,agency_logos/BAI.jpg,"Ronnie D. Domingo, DVM, MSc.",Director,(02)85282206,(02)89200431,bai_dir@yahoo.com,,,
20,BAR - Bureau of Agricultural Research,BAR,4,,,N/A,agency_logos/BAR.png,Vivencio R. Mamaril. Ph.D,Director,N/A,89275691,od@bar.gov.ph,,,
21,BPI - Bureau of Plant Industry,BPI,4,,,,agency_logos/BPI.png,George Y. Culaste,Director,"85244551
/ 85240718",85240718,"bpi.directorsoffice@yahoo.com
",,,
22,BSWM - Bureau of Soils and Water Management,BSWM,4,,,,agency_logos/BSWM.png,Sonia M. Salguero,OIC Director,88978120,9230466,sonia_salguero@yahoo.com,,,
23,BAFE-Bureau of Agricultural and Fisheries Engineering,BAFE,4,,,,agency_logos/BAFE.png,Ariodear C. Rico,Director,89418151,89418151,oed.bafe@gmail.com,,,
24,Agricultural Credit Policy Council,ACPC,5,,,ACPC,agency_logos/ACPC.jpg,Jocelyn Alma R. Badiola,Executive Director,86363392/86343319,86343319,oed@acpc.gov.ph,,,
25,BFAR - Bureau of Fisheries and Aquatic Resources,BFAR,5,,,,agency_logos/BFAR.png,Eduardo B. Gongona,"Undersecretary fo Fisheries, / Director",89297673,89298074,bfardirector@gmail.com,,,
26,FPA-Fertilizer Pesticides Authority,FPA,5,,,Visayas Avenue Diliman Quezon City,agency_logos/FPA.png,Eric C. Divinagracia,Executive Director,"84261572
/8 9208173",89208173,fpa.oed@gmail.com,,,
27,National Fisheries Research and Development Institute,NFRDI,5,,,,agency_logos/DA LOGO.png,"Dr. Lilian C. Garcia, CESO V",Interim Executive Director, (02) 352-3596, (02) 352-3596,iestd.nfrdi@gmail.com,,,
28,NMIS - National Meat Inspection Service,NMIS,5,,,,agency_logos/NMIS.png,Atty. Beata H. Obsioma,OIC - Executive Director,89247980,89247980,nmisexedir@mail.com,,,
29,Philippine Rubber Research Institute,PRRI,5,,,,agency_logos/PRRI.png,"Engr. Dennis H. Palabrica, DR,  Dev",OIC-Executive Director,,CISCO-2265,prri_office@yahoo.com.ph,,,
30,PCC - Phlippine Carabao Center,PCC,5,,,,agency_logos/PCC.png,Arnel N. del Barrio,Executive Director III,8444560731,8444560730,pimd.pcc@gmail.com,,,
31,PhilMech - Philippine Center for Postharvest Development and Mechanization,PhilMech,5,,,,agency_logos/PhilMECH.png,"Baldwin G. Iallorina, PhD.",Director IV,(044)4560213,(044)4560213,"od.philmech@yahoo.com
philmech.ppds@gmail.com",,,
32,PCAF - Philippine Council for Agriculture and Fisheries,PCAF,5,,,"Apacible Hall, DA Compound",agency_logos/PCAF.png,Liza G. Battad,OIC - Executive Director,8926-2706,89243361,docliza@pcaf.da.gov.ph,,,
33,PhilFIDA - Philippine Fiber Industry Development Authority,PhilFIDA,6,,,,agency_logos/PhilFIDA.png,Kennedy T. Costales,Ecxecutive Director III,8441-4606/4306-CISCO 2650,84414080,oed@philfida.da.gov.ph,,,
34,NDA - National Dairy Authority,NDA,6,,,,agency_logos/NDA.png,Marilyn B. Mabale,OIC-Administrator,89288681,89288681,dairynda@pldtdsl.net,,,
35,National Food Authority,NFA,6,,,,agency_logos/NFA.png,Atty.Judi Carol L. Dansal,Administrator,,,nfaaostaff@yahoo.com.ph,,,
36,NTA - National Tobacco Administration,NTA,6,,,,agency_logos/NTA.jpg,"Robert L. Seares, M.D.",Administrator,83743987,83743987,docrseares@gmail.com,,,
37,PCA-Philippine Coconut Authority,PCA,6,,,,agency_logos/PCA.png,Benjamin R. Madrigal,Administrator,89284501 loc 410,89267631,pca.ofad@gmail.com,,,
38,PCIC - Philippine Crop Insurance Corporation,PCIC,6,,,,agency_logos/PCIC.jpg,Atty. JB Jovy C. Bernabe,President,85334466,84410667,op@pcic.gov.ph,,,
39,Philippine Fisheries Development Authority,PFDA,6,,,,agency_logos/PFDA.jpg,Atty. Glenn A. Pangapalan,General Manager,"89256141
/89257901",,pfda.oed@gmail.com,,,
40,PhilRice - Philippine Rice Research Institute,PhilRice,6,,,,agency_logos/DA LOGO.png,Dr. John C. De Leon,Executive Director,(044)4565388,444565388,prri.mail@philrice.gov.ph,,,
41,SRA - Sugar Regulatory Administration,SRA,6,,,,agency_logos/SRA.png,Hermenegildo R. Serafica,Administrator,84550446,89296137,srahead@sra.gov.ph,,,
42,Rice Program,RICE,2,,,,agency_logos/DA LOGO.png,Lorna L. Calda,"OIC, Chief, FPOPD",2428,,onaski.c@gmail.com,,,
43,Corn Program,CORN,2,,,,agency_logos/DA LOGO.png,Lorenzo M. Caranguian,Director,9265691,9265691,agripinoycorn@yahoo.com,,,
44,High-Value Crops Development Program,HVCDP,2,,,,agency_logos/HVCDP.jpg,Evelyn G. Lavi�a,Undersecretary,8926-8444 / 89288741 Loc. 2810,8920-4085,hvccpmo@yahoo.com/agri.hvc.da@gmail.com,,,
45,Livestock Program,LIVESTOCK,2,,,,agency_logos/DA LOGO.png,Dr. William C. Medrano,Assistant Secretary for Livestock,"8929 6860, 2256, 2257",8929 6949,wcm.aseclivestock@gmail.com,,,
